id,email,experimental_condition,StartDate,script_type,post_nudge,ProfileName,ProfileLocation,ProfileBio,ProfilePicture,citevisits,CompletedStudy,DayOneVists,DayTwoVists,DayThreeVists,GeneralPostNumber,GeneralCommentNumber
123456,current@gmail.com,des_5_rules_comments,Sat Oct 09 2021 23:49:49 GMT-0400 (Eastern Daylight Time),,0,0,0,0,0,1,0,4,0,7,0,0
A1I61ALT8XAHT9,htbeck1218@gmail.com,r_5,Thu Oct 07 2021 23:51:50 GMT-0400 (Eastern Daylight Time),,0,1,1,0,1,1,0,2,0,0,0,0
A311GC2KQZCALC,icecoldchair@gmail.com,des_5_rules_comments,Thu Oct 07 2021 23:15:47 GMT-0400 (Eastern Daylight Time),,0,1,1,0,0,2,0,30,0,0,6,1
A2MOQVTKYXQBPA,jgrerickson@gmail.com,des_60_community_comments,Thu Oct 07 2021 21:57:19 GMT-0400 (Eastern Daylight Time),,0,1,1,0,0,2,0,8,0,0,1,1
A34PSGSRVTQQYV,paddenburgs5@frontier.com,r_30,Thu Oct 07 2021 21:53:45 GMT-0400 (Eastern Daylight Time),,0,1,1,1,1,1,0,2,0,0,0,0
A1L2NQ8BZ89UAX,jai01me@outlook.com,r30_rules_noComments,Thu Oct 07 2021 21:37:01 GMT-0400 (Eastern Daylight Time),,0,1,1,1,0,1,0,2,0,0,0,0
A263F4RTEZ3TDJ,duolovejones@gmail.com,r30_rules_noComments,Thu Oct 07 2021 21:24:05 GMT-0400 (Eastern Daylight Time),,0,1,1,1,1,4,0,24,1,0,3,0
R_1hAtNKFrnsxIpS1  ,runonfaith316@gmail.com,des_5_community_comments,Thu Oct 07 2021 21:17:16 GMT-0400 (Eastern Daylight Time),,0,0,0,0,0,1,0,2,0,0,0,0
A1NH1HZ2PLMK69,melissanutterwv@gmail.com,des_60_community_comments,Thu Oct 07 2021 20:57:51 GMT-0400 (Eastern Daylight Time),,0,1,1,1,1,1,0,16,0,0,4,1
A1R2N1TZKFPL1T,sharris1190@aol.com,des_60_rules_comments,Thu Oct 07 2021 20:51:57 GMT-0400 (Eastern Daylight Time),,0,1,1,1,0,3,0,24,0,0,5,13
AITRAV3VF6HY7,kox83x@gmail.com,r_5,Thu Oct 07 2021 20:26:53 GMT-0400 (Eastern Daylight Time),,0,1,1,0,0,1,0,6,0,0,1,0
AGQ1Z9SLSWGFK,babywarboy@yahoo.com,r_30,Thu Oct 07 2021 19:40:35 GMT-0400 (Eastern Daylight Time),,0,1,1,1,0,1,0,2,0,0,0,0
AIQR1GZ687OMW,prozaicmuze@gmail.com,r60_rules_noComments,Thu Oct 07 2021 18:54:06 GMT-0400 (Eastern Daylight Time),,0,1,1,0,0,1,0,2,0,0,0,0
